uri	yaml_path	language
https://gedcom.io/terms/v5.5.1/INDI-ADOP-FAMC-ADOP	structure/standard/INDI-ADOP-FAMC-ADOP-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/INDI-CENS	structure/standard/INDI-CENS-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/INDI-EVEN	structure/standard/INDI-EVEN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/INDI-FAMC	structure/standard/INDI-FAMC-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/INDI-FAMC-STAT	structure/standard/INDI-FAMC-STAT-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/INDI-NAME	structure/standard/INDI-NAME-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/INDI-NAME-FONE	structure/standard/INDI-NAME-FONE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/INDI-NAME-ROMN	structure/standard/INDI-NAME-ROMN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/INDI-NAME-TYPE	structure/standard/INDI-NAME-TYPE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/INDI-NCHI	structure/standard/INDI-NCHI-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/INDI-RELI	structure/standard/INDI-RELI-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/INDI-RESI	structure/standard/INDI-RESI-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/INDI-RFN	structure/standard/INDI-RFN-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/INDI-TITL	structure/standard/INDI-TITL-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/LATI	structure/standard/LATI-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/LONG	structure/standard/LONG-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/MAP	structure/standard/MAP-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/MARB	structure/standard/MARB-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/MARC	structure/standard/MARC-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/MARL	structure/standard/MARL-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/MARR	structure/standard/MARR-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/MARS	structure/standard/MARS-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/MEDI	structure/standard/MEDI-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/NATI	structure/standard/NATI-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/NATU	structure/standard/NATU-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/NICK	structure/standard/NICK-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/NMR	structure/standard/NMR-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/NOTE-SUBMITTER_TEXT_OR_NULL	structure/standard/NOTE-SUBMITTER_TEXT_OR_NULL-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/NOTE-XREF_NOTE	structure/standard/NOTE-XREF_NOTE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/NPFX	structure/standard/NPFX-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/NSFX	structure/standard/NSFX-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/OBJE-FILE	structure/standard/OBJE-FILE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/OBJE-FILE-FORM	structure/standard/OBJE-FILE-FORM-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/OBJE-FILE-FORM-TYPE	structure/standard/OBJE-FILE-FORM-TYPE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/OBJE-NULL	structure/standard/OBJE-NULL-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/OBJE-NULL-FILE	structure/standard/OBJE-NULL-FILE-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/OBJE-NULL-FILE-FORM	structure/standard/OBJE-NULL-FILE-FORM-v551.yaml	en-US
https://gedcom.io/terms/v5.5.1/OBJE-XREF_OBJE	structure/standard/OBJE-XREF_OBJE-v551.yaml	en-US
